Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Afghanistan,AFG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7555180544.12914,8222475079.03283,8338750577.57495,9275168487.29149,9772076665.38981,11123195211.6198,11559778824.1227,14032476595.6769,16047882833.4198,16116303749.6957,18171501071.9466,19189240447.5269,19712059624.7321,19998143635.873,20450164516.4719,20991481026.0286,21241117622.9537,22071985906.2168,21553051296.9328,17091569679.7671,..
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,..,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,652230,..
Afghanistan,AFG,"Population, total",SP.POP.TOTL,8622466,8790140,8969047,9157465,9355514,9565147,9783147,10010030,10247780,10494489,10752971,11015857,11286753,11575305,11869879,12157386,12425267,12687301,12938862,12986369,12486631,11155195,10088289,9951449,10243686,10512221,10448442,10322758,10383460,10673168,10694796,10745167,12057433,14003760,15455555,16418912,17106595,17788819,18493132,19262847,19542982,19688632,21000256,22645130,23553551,24411191,25442944,25903301,26427199,27385307,28189672,29249157,30466479,31541209,32716210,33753499,34636207,35643418,36686784,37769499,38972230,40099462,41128771
Albania,ALB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4650626391.20178,4917834422.44681,5062841530.91488,5118782804.13187,5054716290.33873,5144722790.61983,5434743325.18787,5391926099.08622,5315358610.27511,5838206463.00545,5279160819.73021,3800882728.74606,3527709071.28199,3864937304.45251,4185837892.89876,4743489169.29609,5175146656.97074,4610021466.00919,5017059796.59625,5663799123.51581,6057218877.99608,6559562976.30498,6857139135.53887,7236245498.80782,7635300407.29025,8057259500.32656,8532852056.27005,9043394739.1311,9721653091.2626,10047745465.5346,10420209175.6679,10685445820.2952,10836884531.8214,10945472015.6969,11139693818.2915,11386853143.152,11764325125.3449,12211675202.0003,12702504633.9887,12967696347.088,12539492375.1873,13656576541.706,14318133324.6211
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,..,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,27400,..
Albania,ALB,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2866376,2854191,2837849,2811666,2775634
Algeria,DZA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,23999014910.8958,20733843018.7121,16652377348.4163,22366428947.222,23672497108.5317,25141824908.0753,23933767526.6367,26196217610.7966,29024423760.6619,31472134766.7752,34261402156.3773,30378996280.8998,38710122949.4294,40186208181.9327,43198131413.7452,45377624713.8605,49183335597.0241,51769683590.4049,56540174876.021,60768151085.1351,61248588324.2795,63086043578.2146,67123552963.116,70748226853.2825,74710125101.6704,77474397679.5532,77784296047.1805,77239807899.0646,76467405579.097,79831973076.732,80470629324.5086,79504981301.4455,80936072796.021,79236414653.91,78523289653.7222,81507170569.3753,84848963315.6177,85782301860.5931,90157202351.4028,93042234225.5748,96577839125.8654,99475174299.8449,105045784060.644,112609080513.499,117451270975.32,124380895962.475,126495371194.456,130796213814.509,133935322946.168,136078288113.81,140977106485.955,145065442573.291,149997667621.212,154197602314.606,160057111202.821,165979224316.667,171290559494.911,173517336768.206,175599544810.275,177355540257.925,168310407704.439,174032961566.966,179427983375.303
Algeria,DZA,Land area (sq. km),AG.LND.TOTL.K2,..,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381740,2381741,2381741,2381741,2381741,2381741,2381741,2381741,..
Algeria,DZA,"Population, total",SP.POP.TOTL,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
American Samoa,ASM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,744923664.122138,752116030.534351,755198473.282443,752116030.534351,721291603.053435,734648854.961832,715126717.557252,685329770.992367,687384732.824428,687384732.824428,657587786.259542,641148091.603054,652450381.679389,673000000,661697709.923664,615461068.70229,631900763.358779,628818320.610687,660670229.007634,648340458.015267,..
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,..,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,..
American Samoa,ASM,"Population, total",SP.POP.TOTL,20085,20626,21272,21949,22656,23391,24122,24848,25608,26396,27075,27593,28063,28529,29012,29573,30198,30816,31428,32045,32886,34059,35367,36735,38168,39663,41221,42842,44532,46288,47818,48992,50078,51174,52288,53401,54500,55578,56603,57594,58230,58324,58177,57941,57626,57254,56837,56383,55891,55366,54849,54310,53691,52995,52217,51368,50448,49463,48424,47321,46189,45035,44273
Andorra,AND,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,859121720.857035,899066287.678298,972337883.909453,1048068101.10322,1106956843.92017,1112958826.57405,1149728616.1139,1182364531.71192,1199662526.92628,1200161073.02444,1226669362.0241,1225044337.787,1240314039.04677,1262269065.03816,1284796613.03337,1314622306.02386,1357391199.78172,1432687347.96931,1505673114.94594,1578352471.90325,1638036096.3346,1679740553.06772,1695348938.12452,1677861678.47175,1717848180.14263,1765217871.42347,1847295889.3575,2014802622.42419,2079171403.48522,2164398280.23315,2240766094.49987,2422701909.41887,2532846713.57798,2753057566.67362,2977037419.70729,3137731826.02032,3288615581.7484,3339693968.96825,3154034157.09556,2986780565.81575,2927792904.09907,2927556638.43132,2781926981.12431,2683235436.47838,2750436142.83613,2789881258.60547,2893376871.82913,2903390035.8436,2949518094.78664,3008967037.09274,2672445970.98414,2893916907.64115,3148858813.89707
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,..,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,470,..
Andorra,AND,"Population, total",SP.POP.TOTL,9443,10216,11014,11839,12690,13563,14546,15745,17079,18449,19860,21322,22832,24393,26003,27640,29294,30949,32574,34142,35611,36987,38598,40432,42181,43809,45605,47635,49654,51639,53569,55434,57283,59156,61037,62928,64147,64682,65186,65655,66097,67820,70849,73907,76933,79826,80221,78168,76055,73852,71519,70567,71013,71367,71621,71746,72540,73837,75013,76343,77700,79034,79824
Angola,AGO,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22228078982.8967,21250043236.7666,21250043236.7666,22142545356.2757,23471098557.0584,24292586886.8731,24997072329.8831,26017639959.2481,27612232617.22,27623725232.0812,26670679451.1005,26935081712.7575,25362536026.6684,19279733137.5002,19537958833.7948,22468652664.5033,25511890060.3733,27367695701.7665,28651554387.3827,29276585100.5066,30170874763.9644,31439861320.9282,35736334915.891,36804851329.8762,40834982550.4976,46972480427.8374,52397801917.2526,59738733965.8597,66411550549.8462,66982689884.5751,69928840398.9615,72356806903.3803,78537602825.7269,82428837129.6654,86404016655.5033,87219300384.5072,84968945427.6388,84843913772.756,83727060996.4296,83139068488.845,78451509293.6061,79392308047.2925,81810123785.9154
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,..,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,1246700,..
Angola,AGO,"Population, total",SP.POP.TOTL,5357195,5441333,5521400,5599827,5673199,5736582,5787044,5827503,5868203,5928386,6029700,6177049,6364731,6578230,6802494,7032713,7266780,7511895,7771590,8043218,8330047,8631457,8947152,9276707,9617702,9970621,10332574,10694057,11060261,11439498,11828638,12228691,12632507,13038270,13462031,13912253,14383350,14871146,15366864,15870753,16394062,16941587,17516139,18124342,18771125,19450959,20162340,20909684,21691522,22507674,23364185,24259111,25188292,26147002,27128337,28127721,29154746,30208628,31273533,32353588,33428486,34503774,35588987
Antigua and Barbuda,ATG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,346269196.835313,361448350.025752,390652456.234319,422535286.105219,438654653.041089,438286129.335081,461795868.619111,508737398.358923,547624235.021329,610567225.785409,651025662.213755,684965406.613787,720941671.103003,742654377.271652,758818833.53906,767609561.473437,808138415.274982,862095450.251678,824511645.778324,878966185.317249,927059773.66768,970920131.234148,1006918139.9154,1069381614.5052,1020746101.54234,1031233675.39432,1093897040.21001,1156982395.5026,1231883484.14811,1388433067.06436,1517770927.22872,1517553268.98274,1336012965.82455,1231261603.44532,1207145958.1923,1247861376.20468,1240363271.73109,1287444082.93699,1336692592.59259,1410163355.6217,1454507891.73534,1553760051.89993,1621256318.17727,1337501037.50621,1425172890.58393,1545724464.81893
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,..,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,440,..
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55342,56245,57008,57778,58664,59644,60615,61617,62658,63742,64517,64769,64695,64463,64218,64035,63990,64117,64329,64609,64889,65076,65231,65408,65362,65048,64712,64353,63982,63636,63328,63634,64659,65834,67072,68398,69798,71218,72572,73821,75055,76215,77195,78075,78941,79869,80895,82016,83251,84534,85695,86729,87674,88497,89236,89941,90564,91119,91626,92117,92664,93219,93763
Argentina,ARG,GDP (constant 2015 US$),NY.GDP.MKTP.KD,150797810295.884,158982878499.524,157628310158.567,149261089202.812,164381681831.918,181755894112.433,180556802912.311,186320169964.576,195305461613.156,214210104570.482,220734180309.322,233223609573.669,237021461356.448,243685921868.226,257171024124.452,257097956426.363,251909073021.038,269376820356.431,257238364643.474,283535234199.299,287841521828.634,272903153784.458,270895516738.16,282677015450.457,287117132733.287,272218554792.861,288969188904.054,296785426416.393,293550663101.649,272541389928.67,265817211205.311,290094591011.844,313120244489.89,338817957426.035,358592053441.545,348389357874.283,367643757074.802,397463514160.866,412766570325.764,398792535409.293,395646066535.875,378202665751.853,336999433710.193,366780211148.674,399898899166.738,435296589745.339,470325565798.353,512690850741.56,533491913656.279,501917060966.235,552738161802.463,585924294024.785,579910247223.428,593858966307.156,578937574935.696,594749285413.212,582376550428.09,598790850843.677,583118120294.002,571450737224.442,514630046744.607,568142562825.363,597930530213.47
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,..,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,2736690,..
Argentina,ARG,"Population, total",SP.POP.TOTL,20349744,20680653,21020359,21364017,21708487,22053661,22403116,22757014,23112971,23472028,23842803,24223379,24612794,25020588,25449754,25875558,26290257,26713780,27146121,27584134,28024803,28471285,28922762,29377137,29832197,30287112,30748326,31216453,31690792,32165766,32637657,33105763,33568285,34027240,34488696,34946110,35389362,35815971,36233195,36653031,37070774,37480493,37885028,38278164,38668796,39070501,39476851,39876111,40273769,40684338,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,44938712,45376763,45808747,46234830
Armenia,ARM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5839777099.13096,5156523267.17888,3001096399.91255,2736999952.93467,2884798026.4592,3083849044.69748,3264729149.67663,3373153406.74185,3619393605.01945,3738833594.00614,3959424776.16919,4339529554.65276,4912347455.77734,5600076099.66232,6188084090.06079,7048227778.52437,7978593845.25196,9071661202.17488,9697605825.16392,8330243403.74794,8513508758.64832,8913643670.19191,9555426014.53173,9870755073.01128,10226102255.6979,10553337527.7745,10574444202.8117,11367527518.1962,11958638949.103,12867495509.0601,11941035832.5099,12621674874.8006,14212005909.0254
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,28470,..
Armenia,ARM,"Population, total",SP.POP.TOTL,1904148,1971530,2039346,2106142,2171029,2234051,2295496,2355997,2416461,2476359,2534377,2590923,2648048,2706852,2767646,2830798,2896311,2965523,3038224,3097058,3135123,3167876,3202011,3238291,3272102,3300896,3327182,3351364,3366838,3448186,3556539,3617631,3574555,3457349,3373713,3322782,3298898,3271418,3240550,3206030,3168523,3133133,3105037,3084102,3065745,3047246,3026486,3004393,2983421,2964296,2946293,2928976,2914421,2901385,2889930,2878595,2865835,2851923,2836557,2820602,2805608,2790974,2780469
Aruba,ABW,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,982616126.731236,1140605386.32331,1353312877.28631,1517467571.39906,1577580557.97556,1703201274.47242,1803389601.97603,1935175782.10633,2093935693.11871,2147271243.93681,2172733339.65486,2325843142.0188,2372173575.71739,2401542077.15133,2584457669.54561,2692900552.02825,2667108731.32967,2697003796.23029,2893373340.18533,2882235963.0655,2915061916.68186,3005333289.12687,3060433996.98291,2702865573.66179,2629007178.02497,2717520017.24052,2689383485.56935,2862305919.79842,2861719742.05527,2963128491.62011,3025849510.13709,3191737811.44837,3359554754.77015,3380888928.20317,2752412130.16594,3225070339.87036,..
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,..,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,..
Aruba,ABW,"Population, total",SP.POP.TOTL,54608,55811,56682,57475,58178,58782,59291,59522,59471,59330,59106,58816,58855,59365,60028,60715,61193,61465,61738,62006,62267,62614,63116,63683,64174,64478,64553,64450,64332,64596,65712,67864,70192,72360,74710,77050,79417,81858,84355,86867,89101,90691,91781,92701,93540,94483,95606,96787,97996,99212,100341,101288,102112,102880,103594,104257,104874,105439,105962,106442,106585,106537,106445
Australia,AUS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,204995471189.354,210084803713.297,212804585217.598,226032746661.201,241809970565.327,256271265702.825,262368060394.983,278910222847.194,293118003868.181,313769879266.95,336285742851.857,349740308520.899,363416149517.068,372935384782.122,388251740538.025,393439987529.393,403625246875.107,418134900196.679,421869470866.782,438955296539.95,452280174351.701,467384047177.581,482923876359.888,472181032497.802,493862351057.547,519929610372.882,540551445081.544,554385549225.594,586303416114.162,609025168331.264,630806866757.952,628390422953.754,631083827266.741,656626473554.846,682766270146.292,709306120805.989,736662931696.639,765487340203.969,800802003173.879,840492349102.757,873281396004.422,891108713833.396,926695941113.543,955529142017.977,995820301748.99,1027226011506.23,1055378534334.83,1095249857104.1,1134331329533.5,1155548849145.99,1181046800748.81,1209290178347.49,1256476775507.65,1288878224236.96,1322118614189.98,1350580336316.75,1387458580571.73,1419122933343.79,1460036887869.7,1491740073728.97,1490980996778.96,1524322499298.68,1579466215838.34
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,..,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7682300,7692020,7692020,7692020,7692020,7692020,7692020,..
Australia,AUS,"Population, total",SP.POP.TOTL,10276477,10483000,10742000,10950000,11167000,11388000,11651000,11799000,12009000,12263000,12507000,12937000,13177000,13380000,13723000,13893000,14033000,14192000,14358000,14514000,14692000,14923260,15184247,15393472,15579391,15788312,16018350,16263874,16532164,16814416,17065128,17284036,17478635,17634808,17805468,18004882,18224767,18423037,18607584,18812264,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,21249199,21691653,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24594202,24966643,25340217,25655289,25688079,25978935
Austria,AUT,GDP (constant 2015 US$),NY.GDP.MKTP.KD,84930957865.7421,89634416745.9454,92008541234.9355,95816100869.1366,101684217823.965,105223006468.235,111160594895.654,114504358722.384,119625351794,127132879969.536,135169130645.024,142082989214.129,150903303811.962,158283132276.333,164522871893.839,163924443911.638,171429635128.008,180138227325.32,179758759493.059,189387896783.516,192667120935.942,192389112509.963,196258547592.121,202093486979.047,202197109935.467,207249365643.959,212018988476.745,214896442478.295,221979171128.378,230607667590.116,240629049863.283,248910606082.174,254121610895.057,255460346929.86,261596808649.455,268576168421.57,274886456416.226,280641477589.641,290692443914.523,301030430129.082,311192381028.414,315135711888.113,320340348097.004,323356259321.687,332200441760.824,339655236682.676,351387070656.34,364484726093.492,369807747327.812,355886045571.664,362424005611.476,373016924602.914,375555101767.152,375650886015,378134963330.691,381971148530.543,389570224508.691,398368950204.699,408030932405.258,414222347188.812,387488567518.429,405145843845.507,425390748326.359
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,..,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,82520,..
Austria,AUT,"Population, total",SP.POP.TOTL,7047539,7086299,7129864,7175811,7223801,7270889,7322066,7376998,7415403,7441055,7467086,7500482,7544201,7586115,7599038,7578903,7565525,7568430,7562305,7549425,7549433,7568710,7574140,7561910,7561434,7564985,7569794,7574586,7585317,7619567,7677850,7754891,7840709,7905633,7936118,7948278,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8840521,8879920,8916864,8955797,9042528
Azerbaijan,AZE,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20240095492.0804,20098414788.074,15556172980.3592,11962697221.1959,9606045720.29194,8472532411.01398,8582675281.91495,9080470460.96475,9988517471.78695,10727667894.5085,11918438938.9095,13098364377.8117,14334708024.0505,15798037937.3299,17259957055.9109,22086106525.5606,29705813276.8791,37132266552.006,41127318963.6909,44950664132.9044,47220198223.4226,47267418486.7271,48290871290.5402,51096474737.7166,52501886757.7837,53076244754.5037,51430881230.6077,51533742961.6749,52306749106.1,53614417869.0268,51308997845.8071,54190742583.0465,56692470658.4522
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,83217,83217,83217,83217,83217,83217,83092,82705,82605,82604,82618,82652,82672,82660,82637,82629,82627,82622,82656,82658,82658,82659,82663,82663,82670,82662,82654,82654,82646,82650,..
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,3894500,4045750,4168150,4293550,4439250,4574650,4708150,4832000,4948500,5063300,5172050,5282950,5391450,5493900,5594100,5689050,5781000,5876150,5976150,6071300,6160500,6257750,6357550,6459800,6567850,6670150,6770300,6875350,6974600,7076550,7175200,7271300,7382050,7494800,7596550,7684850,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9939771,10024283,10093121,10137750,10175016
"Bahamas, The",BHS,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2167263524.16927,2398447635.75187,2649132708.54595,2927928897.16231,3235407317.87463,3572717829.65789,3896832244.18454,4270854640.15416,4630535920.18479,5046435032.0398,4761329139.50291,4838772574.10447,4669544442.17455,5022915431.5693,4181364673.91331,3562391979.69162,3747108593.21327,4090153732.75073,4670117904.98266,5890853836.91258,6273481401.17545,5694664594.48728,6076144353.27885,6294706417.23727,7186738619.03538,7533799171.33339,7669181559.57784,7898069766.75122,8080492089.22186,8624093441.50959,8486431428.68096,8131547130.75483,7820468129.87262,7844540022.79667,8091557968.88994,8445867232.60468,8802581004.85453,9407823536.99009,8984133113.94603,10079974393.3008,10498216122.6328,10773811050.5851,11065207190.3022,10925284735.7783,11021726614.4805,11395942898.6198,11682762135.6187,11851780614.5645,11576403634.3607,11092995528.2333,11263648615.2927,11332738051.5607,11682565982.6451,11348059778.2788,11557692820.1537,11672900000,11665077657.6218,11946825776.2937,12129998960.3154,12039754436.8498,9209427736.91217,10773618212.6295,12321675107.1918
"Bahamas, The",BHS,Land area (sq. km),AG.LND.TOTL.K2,..,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,10010,..
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,114500,120216,126305,132639,138785,144849,151323,158197,165456,172745,179129,184435,189181,193563,197767,201881,206096,210534,215016,219426,223752,227956,232177,236586,241166,245935,250804,255618,260452,265493,270679,276058,281973,288164,293997,299554,304933,310171,315398,320272,325014,329626,334002,338490,343089,347804,352664,357666,362795,368057,373272,377950,382061,385650,389131,392697,395976,399020,401906,404557,406471,407906,409984
Bahrain,BHR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7719989594.2972,7309541111.89847,6757216271.72362,7188081842.37558,7547748015.19352,7188605896.05476,7273646666.44917,8030033862.1097,8592135561.90565,8623411548.67152,9006118309.71319,10017505286.0204,10687676226.0298,12063180869.1514,12033022737.8954,12505919514.1411,13019913570.9245,13422619469.9058,14065563316.8115,14670382393.2056,15447922937.5299,15832722681.7137,16362889422.8255,17393169261.3715,18607379553.6075,19866912679.454,21151705946.6711,22906020071.8799,24336503493.4839,24954622922.9927,26036230937.9271,26552663487.0358,27542575573.0076,29034512771.3789,30297627559.0615,31050638297.8723,32155459790.271,33535234420.6161,34243206973.6781,34985245170.2699,33360307403.029,34250930436.9458,35915819622.2345
Bahrain,BHR,Land area (sq. km),AG.LND.TOTL.K2,..,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,690,710,710,710,710,710,710,710,710,710,710,710,720,730,740,740,750,760,760,762,767,770,770,771,778,779,780,778,780,785,790,..
Bahrain,BHR,"Population, total",SP.POP.TOTL,160691,166970,173359,179891,186587,193012,199019,204916,210801,216696,222555,230992,243143,256632,270627,285116,300044,315337,330912,346697,362595,377430,391017,404772,419217,434375,450196,466565,483337,500349,517418,535415,554470,573755,593254,612934,632756,652643,672484,692133,711442,730257,748324,778256,833451,901921,970981,1040532,1110343,1179453,1213645,1212077,1224939,1261673,1311134,1362142,1409661,1456834,1487340,1494188,1477469,1463265,1472233
